unitat_funcional_gestora_organic_,tipologia_contracte,numero_de_lexpedient,exercici_de_lexpedient,objecte_del_contracte,import_dadjudicacio_amb_iva,data_inici_execucio,data_fi_execucio,denominacio_empresa_adjudicataria,nif_empresa_adjudicataria
Districte de Les Corts,Serveis,22001821,2022,Patis Escolars Oberts Al Barri,2659.8,2022-05-28,2022-03-19,CET10 LLEURE SL,B67166058
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22001927,2022,Reparació sistemes càrrega vehicles elèctrics GUB.,9447.55,2022-06-10,2022-08-31,CIRCUTOR SA,A08513178
Districte d' Horta-Guinardó,Serveis,22001069,2022,La Clota Market,4990.04,2022-04-07,2022-05-31,CLUB LLEURESPORT DE BARCELONA,G60320132
Gerència de Recursos,Serveis,22001917,2022,CAMPANYA INNOVACIÓ I TRANSFORMACIÓ URBANA I SOCIAL,9075.0,,,CODEA STUDIO SL,B66523507
Gerència de Recursos,Serveis,22001908,2022,Digitalització d'imatges i els drets de reproducci,2736.66,,,COL OF DE ARQUITECTOS DE CATAL,Q0875010A
"Ger. Àrea Cultura, Educ., Ciència i Com.",Serveis,22001684,2022,Materials diversos Taula de tardes educatives,4882.35,2022-05-20,2022-12-31,COL.LECTIU D'ANALISTES SOCIALS,B64816838
Districte de Nou Barris,Serveis,22001400,2022,MOSTRA DE CULTURA POPULAR,3020.0,2022-04-28,2022-05-27,COLLA GEGANTERA DE NOU BARRIS,G65840225
Districte de Ciutat Vella,Serveis,22001670,2022,Disseny original i maquetació de cartells i altres,13297.9,2022-05-16,2022-12-31,"COLLADO SERRA COMUNICACIÓ, S.L",B63482483
Districte de Nou Barris,Subministraments,22002249,2022,PROTECCIÓ CENTRE CÍVIC CAN BASTÉ VERS COLOMS,2565.2,2022-07-01,2022-09-01,"COLOMBA CONTROL, S.L.",B60786282
Districte de Ciutat Vella,Subministraments,22001219,2022,Adq. mobiliari Seu Districte Ciutat Vella,1290.47,2022-04-26,2022-06-01,"COMERCIAL CONTEL, S.A.",A58026634
Districte de Nou Barris,Subministraments,22001785,2022,SUBMINISTRAMENT MOBILIARI DE REPOSICIÓ NO HOMOL.,18149.99,2022-05-27,2022-12-31,"COMERCIAL CONTEL, S.A.",A58026634
Districte de l'Eixample,Subministraments,22001807,2022,Adquisició de cortines per al C.C. Sagrada Família,7453.3,,,"COMERCIAL CONTEL, S.A.",A58026634
Districte de Nou Barris,Subministraments,22001827,2022,SUBMINIST. EQUIPS AULA INFORMÀTICA TRINITAT NOVA,12305.08,2022-06-01,2022-08-05,"COMERCIAL CONTEL, S.A.",A58026634
"Ger. Drets Socials, Just. Global, Femini",Serveis,22001139,2022,Manteniment i copies fotocopiadores SHARP,18138.51,2022-04-06,2022-12-31,COMERCIAL REPROGRAFICA Y MAQUI,A08774465
Gerència d'Area d'Ecologia Urbana,Serveis,22001516,2022,Serveis creativitat gràfica i adaptacions Economia,7840.8,2022-05-09,2022-12-31,COMMCEPTES ESTRATEGICS DE COMU,B65955528
Districte de Ciutat Vella,Serveis,22001781,2022,Disseny de la campanya de WC públics,3896.2,2022-05-23,2022-09-30,COMMCEPTES ESTRATEGICS DE COMU,B65955528
Gerència Municipal,Serveis,22001443,2022, Incidència Web Barcelona Economia,580.8,,,COMMON PEOPLE INTERACTIVE GROU,B65838047
