unitat_funcional_gestora_organic_,tipologia_contracte,numero_de_lexpedient,exercici_de_lexpedient,objecte_del_contracte,import_dadjudicacio_amb_iva,data_inici_execucio,data_fi_execucio,denominacio_empresa_adjudicataria,nif_empresa_adjudicataria
Districte de Sants-Montjuïc,Serveis,22000189,2022,Assis.tècniques so/video als actes del DTE03 Sants,17258.23,2022-02-18,2022-12-31,"1897 AUDIOVISUALS, SL",B16738411
Districte de Sants-Montjuïc,Serveis,22000863,2022,Serveis audiovisuals consells de barri i actes VP,15125.0,2022-03-24,2022-12-31,"1897 AUDIOVISUALS, SL",B16738411
Districte de Sarrià - Sant Gervasi,Subministraments,22000985,2022,Compra llibres guanyadors jocs florals escolars,993.22,2022-03-25,2022-06-30,A PEU DE PAGINA S.L.N.E.,B64836778
Gerència d'Area d'Ecologia Urbana,Serveis,22000833,2022,Definició dos casos d'ús de treball col·laboratiu,18136.62,2022-03-15,2022-12-16,ACCENTURE SL,B79217790
Districte de Sant Martí,Serveis,22000260,2022,Servei de subtitulació i interpretació de signes,16310.8,2022-02-01,2022-07-31,ACCESIBILITAT GLOBAL INT.LLENG,B64756794
Gerència Persones i Desenv. Organitzatiu,Serveis,22000657,2022,Neteja aules Universitat de Barcelona,5929.0,,,"ACCIONA FACILITY SERVICES, S.A",A08175994
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22000537,2022,Formació fisica GUB Cem Mundet,1635.16,2022-02-23,2022-12-31,ACELL,G08857542
Districte de l'Eixample,Serveis,22000441,2022,"Control de l'encapsulat de coberta Pg.St Joan,122",15730.0,,,ACM 2020 CONS. DIAGN. AMIANTO,B65157596
Districte de Sant Martí,Obres,22000256,2022,Obres ampliació vorera C. Badajoz,48399.1,2022-02-01,2022-03-31,ACSA OBRAS E INFRAESTRUCTURAS,A08112716
Districte de Gràcia,Serveis,22000225,2022,Programació concerts cicles La Sedeta,4840.0,2022-01-27,2022-12-31,"ACTURA 12, S.L.",B65758427
Districte de Sarrià - Sant Gervasi,Serveis,22000598,2022,actuació musical per celebrar 8 de març,544.5,2022-03-05,2022-03-05,"ACTURA 12, S.L.",B65758427
Districte de l'Eixample,Subministraments,22000804,2022,Subm_instal·panells fono absorbent Espai L.Anglada,17482.09,,,"ACUSTICA INTEGRAL, SL",B60991650
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22000435,2022,Serv. supervisió i garantia ampliadors RESCAT,10886.37,2022-02-16,2022-07-30,ADTEL SISTEMAS DE TELECOMUNICA,B63181440
Districte de l'Eixample,Serveis,22000645,2022,Redac.informe tècnic conservació Edif.Valencia 419,4059.55,,,AE-BGC2005,B63728836
"Ger. Àrea Economia, Recursos i Prom.Eco",Serveis,22000330,2022,Video Memòria Promoció Econòmica 2021,18139.11,,,"AFTER BARCELONA, S.L.",B64457427
"Ger. Àrea Economia, Recursos i Prom.Eco",Serveis,22000982,2022,Servei conceptualització campanya comerç,18119.75,,,"AFTER BARCELONA, S.L.",B64457427
Gerència de Recursos,Serveis,22000222,2022,DRETS DE REPRODUCCIÓ DE FOTOGRAFIES,60.5,,,"AGENCIA EFE, S.A.",A28028744
Districte de Nou Barris,Serveis,22000663,2022,CICLE DE MÚSICA DE BANDA A NOU BARRIS,14999.0,2022-02-28,2022-12-31,AGRUP.SARDANIST.LA IDEAL D'EN,G58038167
Districte de Sant Andreu,Serveis,22001054,2022,Actuació Banda Simfònica Roquetes-Nou Barris,1100.0,2022-09-24,2022-09-24,AGRUP.SARDANIST.LA IDEAL D'EN,G58038167
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22000471,2022,Formació física GUB CEM Piscines Bernat Picornell,14730.19,2022-02-23,2022-12-31,AIGUA ESPORTS I SALUT S.L.,B62849674
Districte de Sarrià - Sant Gervasi,Serveis,22000199,2022,Manteniment dipòsit al c/Nebuloses fins 31/12/22,4148.44,2022-01-26,2022-12-31,"AIGÜES DE BARCELONA, EMPRESA M",A66098435
Gerència de Recursos,Serveis,22000515,2022,Reparació col·lector clina C. Calàbria 66,5056.59,,,AIRLAN SA,A48223689
Districte de Les Corts,Serveis,22000867,2022,Coordinació I Producció Fira Sant Jordi 2022,12902.23,2022-03-15,2022-07-31,AIRUN SERVEIS CULTURALS SL,B61519344
Districte de Nou Barris,Serveis,22000706,2022,SUPORT PROGRAMACIONS ESDEVENIMENTS,18148.79,2022-03-07,2022-12-31,AIRUN SERVEIS CULTURALS SL,B61519344
Districte d' Horta-Guinardó,Serveis,22000773,2022,Acte reconeixement víctimes COVID-19,3991.31,2022-03-15,2022-12-31,AIRUN SERVEIS CULTURALS SL,B61519344
Districte de Sarrià - Sant Gervasi,Subministraments,22000253,2022,Lloguer furgoneta brigades fins a 31/12/22,8276.4,2022-01-28,2022-12-31,ALPHABET ESPAÑA FLEET MANAGEME,A91001438
Districte de Sants-Montjuïc,Serveis,22000998,2022,Serveis mèdics preventius per activitats 2022,6668.0,2022-04-01,2022-12-31,"AMBULANCIES CATALUNYA, SCCL",F08726978
Districte de Nou Barris,Serveis,22000151,2022,SERVEIS D'ASSISTÈNCIA SANITÀRIA EN ESDEVENIMENTS,4500.0,2022-01-24,2022-12-31,AMBUMEDIC SERVICE,B65348906
Districte de Sants-Montjuïc,Serveis,22000748,2022,Serveis de pirotècnia per festes majors,4235.0,2022-06-15,2022-12-31,"ANTIGUA CASA MANUEL ESTALELLA,",B08958209
"Ger. Drets Socials, Just. Global, Femini",Obres,22000112,2022,Climatització  i adequació interior CSS Fort Pienc,46247.49,2022-01-18,2022-12-31,API MOVILIDAD SA,A78015880
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22000279,2022,Servei d'inspeccions tècniques de vehicles de GUB.,2500.01,2022-02-02,2022-12-31,"APPLUS ITEUVE TECHNOLOGY,S.L.",B81041444
"Ger. Drets Socials, Just. Global, Femini",Serveis,22000873,2022,Control Qualitat Allotjaments C/Irena Sendler,17664.79,2022-03-16,2022-12-31,"APPLUS NORCONTROL, SLU",B15044357
Gerència de Mobilitat i Infraestructures,Serveis,22000903,2022,Redacció memòries valorades,17423.5,2022-03-24,2022-05-25,AREA CIVITAS ARQUITECTURA E IN,B66837741
Gerència d'Area d'Ecologia Urbana,Serveis,22000673,2022,Assessorament jurídic tramitació ORPIMO,17545.0,2022-03-02,2022-09-30,"AREA PUBLICA ABOGADAS,S.L.P",B02902971
Gerència de l'Arquitecte en Cap,Serveis,22001091,2022,Informe estat Barcelona i potencial urbanístic.,18089.5,2022-03-30,2022-04-30,ARETIAN URBAN ANALYTICS AND DE,83-1302874
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22000643,2022,"Direcció obra i CSS obres reforma Edif.C/Tàpies,4",18146.67,2022-03-03,2022-12-31,"ARIBAU 70, SL",B63472872
Gerència d'Àrea de Seguretat i Prevenció,Subministraments,22000953,2022,Submin. material específic per a la UREP,18124.35,2022-03-26,2022-07-31,ARMERIA RAVELL S.L.,B08073264
Districte de l'Eixample,Serveis,22000683,2022,Redac.project enderroc mur Av.Paral·lel 102,2722.38,,,ARQ PSG10 SL,B66213869
Districte de l'Eixample,Serveis,22000732,2022,Redac.proj impermeabilitzar mur c/Comte Borrell 5,2871.97,,,ARQ PSG10 SL,B66213869
Districte de l'Eixample,Serveis,22000733,2022,Redac.proj impermeabilitzar mitgera Paral·lel 102,2046.28,,,ARQ PSG10 SL,B66213869
Districte de Ciutat Vella,Serveis,22000378,2022,Red.Proj.Ex.ref. pl.baixa biblioteca la fraternita,10115.6,2022-02-11,2022-04-11,ARQUITECTURA GENIS PLANELLES S,B64782105
Districte de Sarrià - Sant Gervasi,Serveis,22001000,2022,Espectacle dansa inclusiva Invictus Sense Límits,150.0,2022-03-25,2022-09-30,"ARTISTAMENTE, SOCIEDAD LIMITAD",B67515817
Districte de Sarrià - Sant Gervasi,Obres,22001003,2022,Reparació tram superior de paviment al c.Santpedor,17413.11,2022-03-25,2022-04-30,ASFALTOS AUGUSTA SL,B64455835
Districte de Nou Barris,Serveis,22000492,2022,LLICÈNCIES AUTODESK DISTRICTE DE NOU BARRIS,2698.3,2022-02-21,2023-02-20,ASIDEK-ASES.SIST.E INTEGRADORE,B61117099
"Ger. Drets Socials, Just. Global, Femini",Subministraments,22000913,2022,Subministrament llicències i manteniment AutoDesk,4942.85,2022-03-17,2022-12-31,ASIDEK-ASES.SIST.E INTEGRADORE,B61117099
Gerència de Recursos,Privat d'Administració Pública,22000794,2022,Subscripció base de dades AECA 2022,450.0,,,ASO ESPAÑOLA CONTABILIDAD ADMO,G28729218
Districte d' Horta-Guinardó,Serveis,22000313,2022,GIMNÀSTICA GENT GRAN FONT DEL GOS,2147.25,2022-02-12,2022-12-31,ASOC. ESPORT-3,G08880577
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22000474,2022,"Planificació, seguiment i avaluació de projectesGU",18089.5,2022-02-16,2022-12-31,ASOC. LA PERIFERICA,G65180838
Gerència de l'Arquitecte en Cap,Serveis,22000669,2022,Disseny actuació artística al Pg.Marítim Mar Bella,16927.9,2022-03-20,2022-06-21,ASOCIACION AQUI BCN,G16860231
Districte de Ciutat Vella,Serveis,22000718,2022,Serveis mant. i reparació de bicicletes Districte,900.0,,,ASS.COMUNITATS RECURSOS I EINE,G66769035
Districte de l'Eixample,Serveis,22000858,2022,Dinamització i coordinació Punts Lila Eixample,12420.0,,,ASS.XARXA DOS DEU MILLORA BARR,G66160763
Districte de Ciutat Vella,Serveis,22000996,2022,DO + CSS Clima p1 Casa dels Entremesos,4114.0,2022-03-28,2022-05-30,ASSESSORIA ENERGÈTICA CATALANA,B60705522
Gerència de l'Arquitecte en Cap,Serveis,22000640,2022,Estudi simulació l trànsit Rondes de Ciutat Vella,17908.0,2022-02-25,2022-04-30,ASSESSORIA INFRAESTRUCTURES I,B63432512
"Ger. Àrea Economia, Recursos i Prom.Eco",Serveis,22000481,2022,Assessorament als afectats per entitats bancàries,5082.0,2022-02-15,2022-04-15,ASSOC CATAL. ESCLEROSI MULTIPL,G60001591
Districte de Nou Barris,Serveis,22000774,2022,ACOMPANYAMENT XARXES DE DONES DE NOU BARRIS,9000.0,2022-03-08,2022-12-31,ASSOCIACIO ACCIONS FEM FEMINIS,G67318915
Districte de Nou Barris,Serveis,22000563,2022,TEATRE A LES BASSES,3025.0,2022-03-01,2022-03-31,ASSOCIACIO LA VOZ AHOGADA,G67598094
Districte de Sant Andreu,Serveis,22000736,2022,Actuació cobla Maricel festa major Bon Pastor,950.0,2022-05-22,2022-05-23,ASSOCIACIO MUSICAL SUBURENSE,G65009557
Districte de Gràcia,Serveis,22000089,2022,Servei contra violències masclistes a Foguerons,1786.0,2022-01-29,2022-01-30,ASSOCIACIÓ PELS DRETS SEXUALS,G08914475
Districte de Nou Barris,Serveis,22000185,2022,PRODUCCIÓ AUDIOVISUAL PER A WEB I XARXES SOCIALS,4961.0,2022-02-01,2022-12-31,ASSOCIACIO PROJECTART,G58532870
Districte de Ciutat Vella,Serveis,22000751,2022,Proj. rotonda a Av. Drassanes amb Nou de la Rambla,5929.0,,,"ASTEC GESTIO, PROJECTE I OBRA",B66853573
Districte de Ciutat Vella,Serveis,22000752,2022,Redacció Mem.Valorada noves zones carreg i descarr,2904.0,2022-03-16,2022-04-18,"ASTEC GESTIO, PROJECTE I OBRA",B66853573
"Ger. Àrea Cultura, Educ., Ciència i Com.",Serveis,22000921,2022,Servei d’Enginyeria per a  l’edifici Gustau Gili,4235.0,2022-03-25,2022-12-31,ATIM EVENT ENGINEERING SL,B65905416
Districte d' Horta-Guinardó,Serveis,22000776,2022,Control d'accés carrer Gran Vista,17998.75,2022-03-15,2022-12-31,"ATRIUM SERVICIOS AUXILIARES, S",B64863285
Gerència de Recursos,Privat d'Administració Pública,22000268,2022,Subscripció la Razón 2022,3087.57,,,"AUDIOVISUAL ESPAÑOLA 2000,S.A.",A82031329
Districte de Gràcia,Serveis,21004922,2022,Servei d’ordre públic placeta Santa Rosa,18104.63,2022-01-03,2022-04-22,AUSERVI GROUP SEGURIDAD Y,B64811995
Districte de Ciutat Vella,Subministraments,22000144,2022,Subm. targetes de transport T-Casual any 2022,567.5,2022-01-20,2022-12-31,AUTORITAT TRANSPORT METROPOLIT,P5890049I
Districte de Ciutat Vella,Subministraments,22000351,2022,Subm. títols transport Personal Dte Ciutat Vella,851.25,2022-02-14,2022-03-14,AUTORITAT TRANSPORT METROPOLIT,P5890049I
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22000587,2022,Formació física CEM Bac de Roda,3012.57,2022-03-02,2022-12-31,BAC DE RODA SPORT SL,B61861548
Districte de Nou Barris,Serveis,22000622,2022,ACOMPANYAMENT ENTITATS DE DONES DE NOU BARRIS,5735.4,2022-02-28,2022-12-31,BARABARA EDUCACIÓ VSCCL,F66267287
Districte de Ciutat Vella,Serveis,22000866,2022,Servei Tècnic projecte Pla Educació Ciutat Vella,18125.8,2022-03-16,2022-07-31,BARABARA EDUCACIÓ VSCCL,F66267287
Gerència de l'Arquitecte en Cap,Serveis,22000489,2022,Estudi històric Torre Girona,9680.0,2022-02-18,2022-12-31,BARCHINONA.CAT SCP,J66375353
Districte de Sant Andreu,Serveis,22000031,2022,"Obertura equipaments, correspondència i serveis su",15149.2,2022-01-10,2022-05-29,BARNA PORTERS SL,B61443628
Districte d' Horta-Guinardó,Serveis,22000355,2022,Tancament reixes carrer Idumea,14701.5,2022-02-15,2022-12-31,BARNA PORTERS SL,B61443628
Districte de Nou Barris,Serveis,22000772,2022,RED. PROJ. RENOV. ENLLUMENAT 4 EQUIPAMENTS 9BARRIS,5868.5,2022-03-08,2022-05-09,"BARNY ENGINYERIA, SL",B60995149
Gerència de Mobilitat i Infraestructures,Serveis,22000887,2022,DF i CS mobilitat i obra civil derivada,17352.28,2022-03-28,2022-07-27,BCN URBAN FACILITIES SL,B65534844
Gerència de Mobilitat i Infraestructures,Serveis,22000205,2022,Assistència tècnica per a la Central d’Operacions.,16878.29,2022-02-17,2022-12-31,"BCNSMART STUDIOS, S.L.",B66270174
Gerència de Mobilitat i Infraestructures,Serveis,22000838,2022,Manteniment Bases de dades d'Obres Municipals,16456.0,2022-03-24,2023-02-23,"BCNSMART STUDIOS, S.L.",B66270174
Gerència d'Àrea de Seguretat i Prevenció,Subministraments,22000337,2022,Adquisició 5 tablets,2354.36,2022-02-09,2022-02-28,BECHTLE DIRECT S.L.,B83029439
Gerència d'Àrea de Seguretat i Prevenció,Subministraments,22000336,2022,Subministrament bicicletes Parc Infantil Trànsit,4869.87,,2022-08-31,"BIKE-WORLD, SCP",J59931725
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22000625,2022,Reparacions bicicletes operatives i educació vial.,8000.0,2022-03-02,2022-12-31,"BIKE-WORLD, SCP",J59931725
Districte de Sant Andreu,Serveis,22000289,2022,SERVEIS TECNICS INTAL.LACIO XARXA LOCAL CASTELLERS,11616.0,2022-02-04,2022-04-08,BLOCVOLUM SOCIEDAD CIVIL PROFE,J55365456
Districte de Sant Martí,Serveis,22000531,2022,Serveis d'auditoria de projectes,3859.9,2022-02-24,2022-12-24,BLUE PROJECT MANAGEMENT & SERV,B64897192
Gerència de Mobilitat i Infraestructures,Serveis,22000898,2022,Coordinació agents pla de xoc,16955.1,2022-03-28,2022-06-30,BLUE PROJECT MANAGEMENT & SERV,B64897192
Gerència de Mobilitat i Infraestructures,Serveis,22000966,2022,AT seguiment i control actuacions Pla Cuidem,16895.48,2022-03-28,2022-09-30,BLUE PROJECT MANAGEMENT & SERV,B64897192
Districte de Gràcia,Serveis,22001029,2022,Suport tècnic manteniment via pública Dep. d'Obres,18012.79,2022-03-29,2022-12-31,BLUE PROJECT MANAGEMENT & SERV,B64897192
Districte de Sants-Montjuïc,Serveis,22000891,2022,Serveis inserció i prospecció laboral al Poble-sec,14632.74,2022-03-22,2022-12-31,BONA VOLUNTAT EN ACCIÓ,G61400073
Districte de Sant Andreu,Serveis,22000840,2022,Manteniment anual i millores del Projecte Monitor,2223.38,2022-03-14,2022-12-31,"BRING ON, S.L.",B66241001
Districte de Ciutat Vella,Serveis,22000925,2022,Manteniment eina per gestió de projectes,3630.0,,,"BRING ON, S.L.",B66241001
"Ger. Drets Socials, Just. Global, Femini",Serveis,22000486,2022,Informes Pla Accions Estratègia Soledat,17808.78,2022-03-03,2022-12-31,BROLL SOCIETAT COOP CATALANA L,F66890682
Districte de Nou Barris,Serveis,22000665,2022,RED PROJ I DO CONDICIONAMENT ACUSTIC CC ZONA NORD,6655.0,2022-02-28,2022-04-30,BRUFAU CUSO ESTUDI D'ARQUITECT,B63393045
Gerència de Recursos,Serveis,22000408,2022,Auditoria projecte trasllat grup electrogen Vell,3557.4,,,BUREAU VERITAS INSPECCION TEST,B08658601
"Ger. Àrea Cultura, Educ., Ciència i Com.",Serveis,22000892,2022,Disseny i producció instal•lació expositiva-intera,17828.14,2022-03-24,2022-05-31,BYFACILITY SL,B66474743
Districte de Nou Barris,Serveis,22000174,2022,MANTENIMENT I REPARACIÓ FONT D'AIGUA CANALETAS NB,318.88,2022-02-07,2022-12-31,"CANALETAS,S.A.",A08607913
Districte de Les Corts,Serveis,22000457,2022,MANTENIMENT FONTS D'AIGUA DISTRICTE DE LES CORTS,1176.6,2022-02-21,2022-04-29,"CANALETAS,S.A.",A08607913
Districte de Gràcia,Serveis,22000727,2022,Manteniment 2 fonts Canaletas Seu Districte,248.97,2022-03-08,2022-12-31,"CANALETAS,S.A.",A08607913
"Ger. Drets Socials, Just. Global, Femini",Subministraments,22000438,2022,Subministrament caixes arxiu documentació,1029.11,2022-02-11,2022-02-28,"CARTONES COMPACTOS, SL",B08831349
Gerència d'Àrea de Seguretat i Prevenció,Subministraments,21004466,2022,Adquisició vestits secs submarinistes de l'SPCPEIS,6796.45,2022-01-11,2022-12-31,"CASCO ANTIGUO COMERCIAL, SL",B79683579
Gerència d'Àrea de Seguretat i Prevenció,Subministraments,22001025,2022,Submin. material nàutic Grup Platges GUB,2319.69,2022-03-29,2022-12-31,"CASCO ANTIGUO COMERCIAL, SL",B79683579
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22000463,2022,supervisió i garantia funciona EUROMUS per SPCPEIS,1887.6,2022-02-23,2022-12-31,CCALGIR S.L.,B17845116
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22000323,2022,Serv. superv. i garan. proj. interactius,1995.29,,2022-06-30,CENORMA SLU,B62829486
Districte de Sant Andreu,Subministraments,22000759,2022,SUBMINISTRAMENT PECES REPOST RADAR PEDAGOGIC,308.97,2022-03-08,2022-04-05,CENTRAL OPERATIVA COMERCIAL 30,B67561753
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22000359,2022,Realització de les proves físiques canvi DROS-UREP,5259.24,2022-02-10,2022-02-10,CENTRE D`ALT RENDIMENT ESPORTI,Q5856178H
Districte de Sant Andreu,Serveis,22000018,2022,Servei de monitoratge Institut El Til·ler,7326.33,2022-01-10,2022-12-31,CET10 LLEURE SL,B67166058
Districte de Ciutat Vella,Serveis,22000701,2022,Reparació vinil per mitgera Pl Carme Simó,1179.75,2022-03-01,2022-04-01,CIMCAT SERVEIS SL,B65897084
Districte de Nou Barris,Serveis,22000674,2022,ESTUDI MOBILITAT A L'ENTORN DEL CARRER LES TORRES,2619.21,2022-02-28,2022-04-30,"CINESI, SLU",B61156816
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22000540,2022,Formació física GUB CEM Estació del Nord,3761.72,2022-02-23,2022-12-31,CLUB ESTACIÓ DEL NORD S.L.,B42985481
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22000585,2022,Formació física GUB CEM Can Ricart- Colom,6764.87,2022-03-12,2022-12-31,CLUB LLEURESPORT DE BARCELONA,G60320132
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22000582,2022,Formació fisica GUB Cem San Sebastià,4453.92,2022-03-02,2022-12-31,CLUB NATACIO ATLETIC-BARCELONE,G60221041
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22000434,2022,Formació física GUB CEM Sant Andreu - La Sagrera,1864.8,2022-02-23,2022-12-31,CLUB NATACIO SANT ANDREU,G08494320
"Ger. Àrea Economia, Recursos i Prom.Eco",Serveis,22000340,2022,"redaccio, manteniment continguts xxss i web Pol.Al",13873.86,,,COLECTIC SCCL,F60939956
Districte de Ciutat Vella,Serveis,22000180,2022,Disseny i maquetació de productes de comunicació,4833.95,2022-01-24,2022-12-31,"COLLADO SERRA COMUNICACIÓ, S.L",B63482483
Districte de Sants-Montjuïc,Subministraments,22000884,2022,Cortines de la Sala Cadires Vermelles,1609.0,2022-04-02,2022-12-31,"COMERCIAL CONTEL, S.A.",A58026634
Gerència de Recursos,Subministraments,22001007,2022,Compra respatllers cadires operatives,1846.46,,,"COMERCIAL CONTEL, S.A.",A58026634
Districte de Sants-Montjuïc,Serveis,22000547,2022,Manteniment multifuncions Sharp Seu Districte,7671.4,2022-04-09,2022-12-31,COMERCIAL REPROGRAFICA Y MAQUI,A08774465
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22000596,2022,Formació física GUB CEM Les Corts,2264.47,2022-03-12,2022-12-31,"COMPLEX ESPORTIU LES CORTS, S.",B60011137
Districte de Sarrià - Sant Gervasi,Serveis,22000478,2022,Llibre institucional Centenari Agregació Sarrià,17545.0,2022-03-02,2022-07-31,"COMUNICACIO LAYETANA OFFICE, S",B64471121
Gerència de Recursos,Serveis,22001019,2022,Maquetació i suport difusió 14 publicacions Arxiu,12840.53,,,CONCOCO COMUNICACION SL,B63918585
Gerència de Recursos,Privat d'Administració Pública,22001106,2022,Subscripció base de dades Index_CSIC 2022,343.2,,,CONSEJO SUPERIOR INVESTIG.CIEN,Q2818002D
Gerència d'Àrea de Seguretat i Prevenció,Subministraments,22000233,2022,Subm material farmacèutic SPCPEIS (Consorci Mar),9000.0,2022-02-10,2022-12-31,CONSORCI MAR PARC SALUT BCN,S0800471E
Districte de Ciutat Vella,Subministraments,22000382,2022,Adaptació vestuaris Caserna Guàrdia Urbana CV,7653.25,2022-02-23,2022-03-25,CONSTRUCC. I SERV. MARAGALL 77,B64933559
Districte de Sant Andreu,Obres,22000433,2022,TREBALLS INSTAL. XARXA LOCAL CASTELLERS,48390.04,2022-02-14,2022-05-16,"CONSTRUCCIONES DOYVEN, SL",B63289045
"Ger. Drets Socials, Just. Global, Femini",Serveis,22001033,2022,Escomesa aigua d’allotjaments Districte Sant Martí,9512.57,2022-03-28,2022-12-31,CONSTRUCTORA DE CALAF SAU,A08153900
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22000688,2022,suport plataforma GIS per SPCPEIS,8470.0,2022-03-12,2022-12-31,CONSULTORIA TECNICA,B17525429
Districte de Ciutat Vella,Serveis,22000695,2022,Revisió projecte climatització Casa Misericòrdia,2976.6,2022-03-01,2022-04-01,"CONTROL ENERGETIC CATALUNYA, S",B62667845
Districte de Sarrià - Sant Gervasi,Serveis,22001067,2022,MANTENIMENT INFORMATIC VIL.LA URANIA,3256.35,2022-04-01,2023-03-31,CONTROLLI DELTA SPAIN SA,A60034733
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22000280,2022,Servei reparació 11 motocicletes trail elèctriques,6049.99,2022-02-02,2022-12-31,"COOLTRA MOTOS, SL",B64146632
Districte de Gràcia,Serveis,22000179,2022,Coordinació de seguretat i salut obres Gràcia,17666.0,2022-02-01,2022-10-31,"COPREDIJE, S.A.",A82003815
Districte de Sants-Montjuïc,Serveis,22000264,2022,SERVEI CSS OBRES DISTRICTE SANTS ANY 2022,12100.0,2022-02-14,2023-12-31,"COPREDIJE, S.A.",A82003815
Districte de Sants-Montjuïc,Serveis,22000302,2022,SERVEIS ASSISTENCIA SEG.I SALUT PLA OCUPACIONAL 22,4840.0,2022-02-19,2022-12-31,"COPREDIJE, S.A.",A82003815
Districte d' Horta-Guinardó,Serveis,22000571,2022,V - Coord Seg i Salut obres via pública HG,17750.7,2022-03-15,2022-12-31,"COPREDIJE, S.A.",A82003815
Districte de Ciutat Vella,Serveis,22000755,2022,CSS implementació noves DUM Raval CV,1936.0,,,"COPREDIJE, S.A.",A82003815
Districte de Nou Barris,Serveis,22000940,2022,COORD. SEGURETAT i SALUT OBRES INVERSIÓ PRÒPIA 9B,12650.55,2022-03-23,2022-12-31,"COPREDIJE, S.A.",A82003815
Districte de Les Corts,Serveis,22000849,2022,REDACCIÓ PROJECTE EXECUTIU TIMPÀ FAÇANA SEU DE DTE,1742.4,2022-03-22,2022-04-14,COTCA SA,A08574816
Districte de Les Corts,Serveis,22000963,2022,MODIFICACIÓ PROJECTE REPARACIÓ FAÇANA SEU DEL DTE.,4719.0,2022-03-28,2022-04-25,COTCA SA,A08574816
Gerència de Pressupostos i Hisenda,Serveis,22000629,2022,Servei de valoració de negoci hoteler en finca mun,16940.0,,,CUSHMAN & WAKEFIELD SPAIN LTD.,W0061691B
"Ger. Àrea Ag.2030, Trans Dig i Esports",Serveis,22000409,2022,Tutoria TIC i sup. gestió sist inform usuaris CAAC,4791.6,,,DATALAB TECNOLOGIA S.A.,A62092317
Districte de Sant Andreu,Serveis,22000947,2022,Activitats festes majors Bon Pastor i Baró de Vive,4235.0,2022-05-07,2022-06-19,"DBA MANAGEMENT CULTURAL, SL",B64915903
"Ger. Àrea Economia, Recursos i Prom.Eco",Serveis,22000341,2022,"Creativitat, disseny comunic. Polit.Alilment. 2022",13024.44,,,DDLAB INNOVACIÓN GESTIÓN Y DES,B64085954
Districte de Gràcia,Serveis,22000227,2022,Proteccions pista de bàsquet de Vallcarca,4477.0,2022-01-27,2022-02-28,"DECORESPORT,S.A.",A08813743
Gerència de Pressupostos i Hisenda,Serveis,22000526,2022,Sistema traspàs liquidacions SIP a SAP Hisenda,17968.5,,,"DELOITTE CONSULTING, SLU",B81690471
Districte de Gràcia,Obres,22000194,2022,"Obres d’enderroc i neteja solar del c/Gomis, 106",48086.79,2022-02-23,2022-03-08,"DELTAPUNT 3000, S.A.",A61110359
Districte de Nou Barris,Obres,22000407,2022,OBRES ENDERROC VESTIDORS CF DAMM,39506.5,2022-02-09,2022-04-11,"DELTAPUNT 3000, S.A.",A61110359
Districte de Ciutat Vella,Serveis,22000283,2022,DO+CSS Eixos ciclables Raval,5445.0,2022-01-27,2022-03-04,DESARROLLO ORGANIZACION Y MOVI,A61722740
Districte de Ciutat Vella,Serveis,22000288,2022,DO + CSS Canvi de sentit Raval,2226.4,2022-02-28,2022-03-31,DESARROLLO ORGANIZACION Y MOVI,A61722740
Districte de Ciutat Vella,Serveis,22000829,2022,Actualització inventari senyalització sentit Raval,1936.0,2022-03-16,2022-04-18,DESARROLLO ORGANIZACION Y MOVI,A61722740
Gerència de Recursos,Privat d'Administració Pública,22000627,2022,Subscripcions ABC 2022,4846.81,,,DIARIO ABC SL,B82824194
"Ger. Àrea Economia, Recursos i Prom.Eco",Serveis,22000987,2022,"Patrocini ""Jornades sobre Turisme""",9680.0,,,DIARIO DE PRENSA DIGITAL SL,B86509254
Districte de Nou Barris,Serveis,22000353,2022,PROJECTE ART URBÀ,2722.5,2022-02-07,2022-03-08,"DIFUSOR, ASSOCIACIÓ CULTURAL",G64363633
Districte de Sarrià - Sant Gervasi,Obres,22000633,2022,ADPT INST ALARMES I SEGURETAT 5 EDIFICIS DTE-05,27989.44,2022-02-23,2022-12-31,"DIGITECNIC, S.L.",B58484015
Districte de Ciutat Vella,Serveis,22000021,2022,Suport tramitació Responsabilitat Patrimonial CV,17968.5,2022-01-11,2022-12-31,DINSER SERVICIOS INFORMATICOS,B63126064
Gerència de Recursos,Serveis,22000991,2022,"DIRECCIO D'ART ""LA MARINA -ZONA FRANCA",9634.63,,,"DISSENY GRÀFIC SAN ROMAN, SL",B59949909
